Record_ID,District,Timestamp,Date,Time,Day_of_Week,Intersection_Name,Zone,Road_Type,Vehicle_Count,Vehicle_Type_Dominant,Average_Speed_kmh,Congestion_Level,Queue_Length_meters,Signal_Cycle_Seconds,Green_Time_Ratio,Pedestrian_Count,Weather_Condition,Temperature_Celsius,Visibility_meters,Incident_Type,Incident_Severity,Travel_Time_Index,Occupancy_Rate,Air_Quality_Index
15,Salem,08-01-2024 22:34,08-01-2024,22:34,Monday,Five_Roads,New_Suramangalam,Main_Road,553,Car_Dominant,51.95,Moderate,30,132,0.41,285,Cloudy,37.9,894.7,None,Minor,1.71,0.71,154
16,Salem,11-01-2024 19:09,11-01-2024,19:09,Thursday,Saradha_College_Signal,Hasthampatti,Main_Road,556,Heavy_Vehicles,15.25,Low,73,69,0.49,108,Clear,41.1,489.5,None,None,2.5,0.89,140
17,Salem,13-01-2024 21:12,13-01-2024,21:12,Saturday,Kitchipalayam_Signal,Seelanaickenpatti,National_Highway,230,Two_Wheeler_Dominant,22.69,Low,19,150,0.63,259,Clear,25.4,826,Market_Congestion,None,2.21,0.86,136
18,Salem,14-01-2024 04:00,14-01-2024,4:00,Sunday,Seelanaickenpatti_Signal,Sankari_Main_Road,Main_Road,130,Mixed,66.85,Moderate,36,157,0.33,143,Clear,26.8,160.3,None,None,2,0.63,81
19,Salem,15-01-2024 01:20,15-01-2024,1:20,Monday,Saradha_College_Signal,Ammapet,National_Highway,530,Mixed,63.01,High,25,115,0.62,223,Clear,26.9,274.5,None,Minor,1.97,0.79,101
20,Salem,15-01-2024 03:56,15-01-2024,3:56,Monday,Ammapet_Signal,Attur_Road,State_Highway,425,Mixed,59.8,High,46,168,0.69,57,Rain,38.6,694.9,Accident,None,2.51,0.8,189
21,Salem,15-01-2024 12:21,15-01-2024,12:21,Monday,Seelanaickenpatti_Signal,Ammapet,State_Highway,195,Heavy_Vehicles,48.37,High,31,139,0.62,170,Clear,26.3,662.4,None,None,2.08,0.7,86
22,Salem,15-01-2024 15:54,15-01-2024,15:54,Monday,Seelanaickenpatti_Signal,Kitchipalayam,Inner_Road,199,Heavy_Vehicles,26.54,Low,21,152,0.51,33,Rain,31.8,341.7,None,Minor,1.57,0.35,188
23,Salem,15-01-2024 20:38,15-01-2024,20:38,Monday,Kondalampatti_Junction,Kitchipalayam,Inner_Road,104,Mixed,65.29,Moderate,63,148,0.52,43,Hot,25.6,484.8,Breakdown,None,1.77,0.3,136
24,Salem,16-01-2024 07:12,16-01-2024,7:12,Tuesday,Kondalampatti_Junction,Hasthampatti,Main_Road,118,Mixed,59.16,Severe,68,165,0.54,155,Rain,23.5,357.2,None,None,2.09,0.92,246
25,Salem,17-01-2024 10:04,17-01-2024,10:04,Wednesday,Omalur_Junction,Kondalampatti,State_Highway,107,Mixed,20.89,Low,35,73,0.33,6,Clear,21.4,458.1,None,None,2.68,0.89,214
26,Salem,17-01-2024 10:25,17-01-2024,10:25,Wednesday,Steel_Plant_Signal,Cherry_Road,Inner_Road,353,Mixed,42.09,Low,18,115,0.64,136,Rain,39.7,983.1,None,Major,2.13,0.81,194
27,Salem,19-01-2024 04:32,19-01-2024,4:32,Friday,Ammapet_Signal,Ammapet,National_Highway,501,Mixed,20.86,High,1,84,0.37,157,Rain,18.1,378.8,None,None,0.81,0.55,168
28,Salem,20-01-2024 15:14,20-01-2024,15:14,Saturday,Cherry_Road_Junction,Sankari_Main_Road,National_Highway,568,Two_Wheeler_Dominant,55.76,Low,34,109,0.57,166,Cloudy,28.3,263.5,Accident,Moderate,1.76,0.57,145
29,Salem,21-01-2024 05:30,21-01-2024,5:30,Sunday,Sankari_Main_Road,Ammapet,Inner_Road,116,Mixed,22.66,High,58,119,0.33,30,Clear,21,824.6,Breakdown,Minor,1.72,0.86,228
30,Salem,21-01-2024 11:13,21-01-2024,11:13,Sunday,Cherry_Road_Junction,Hasthampatti,State_Highway,280,Mixed,40.94,Moderate,29,150,0.61,176,Clear,25.1,756.4,Accident,Minor,1.2,0.7,141
31,Salem,22-01-2024 09:23,22-01-2024,9:23,Monday,Ammapet_Signal,Attur_Road,Main_Road,223,Mixed,47.76,High,16,82,0.49,250,Cloudy,28.1,101.3,None,None,1.27,0.39,202
32,Salem,22-01-2024 11:34,22-01-2024,11:34,Monday,Sankari_Main_Road,Attur_Road,Inner_Road,229,Two_Wheeler_Dominant,65.32,High,39,68,0.47,295,Clear,29.6,488.8,None,Minor,1.54,0.81,90
33,Salem,23-01-2024 22:27,23-01-2024,22:27,Tuesday,New_Bus_Stand_Junction,Seelanaickenpatti,Inner_Road,88,Mixed,39.15,Low,17,104,0.59,89,Hot,34.9,957,None,Minor,1.82,0.77,130
34,Salem,23-01-2024 23:29,23-01-2024,23:29,Tuesday,Kondalampatti_Junction,Sankari_Main_Road,Inner_Road,493,Mixed,22.5,Low,66,82,0.51,253,Hot,18.4,667.8,Accident,None,0.83,0.75,93
35,Salem,24-01-2024 07:30,24-01-2024,7:30,Wednesday,Fairlands_Junction,New_Suramangalam,Inner_Road,274,Heavy_Vehicles,46.34,Moderate,77,178,0.53,171,Hot,41.1,731.1,Market_Congestion,None,1.86,0.82,218
36,Salem,25-01-2024 03:09,25-01-2024,3:09,Thursday,Ammapet_Signal,Seelanaickenpatti,State_Highway,114,Car_Dominant,64.32,Moderate,67,157,0.42,40,Clear,38.5,493.3,None,Minor,1.67,0.67,117
37,Salem,26-01-2024 10:15,26-01-2024,10:15,Friday,Seelanaickenpatti_Signal,Attur_Road,National_Highway,516,Heavy_Vehicles,19.92,Moderate,5,95,0.57,248,Clear,29.4,265.1,Breakdown,None,2.58,0.38,160
38,Salem,27-01-2024 02:40,27-01-2024,2:40,Saturday,Saradha_College_Signal,Cherry_Road,Main_Road,495,Heavy_Vehicles,44.29,High,28,155,0.69,257,Hot,33.3,215.1,None,Minor,2.18,0.53,146
39,Salem,27-01-2024 06:17,27-01-2024,6:17,Saturday,Steel_Plant_Signal,New_Suramangalam,State_Highway,223,Mixed,47.86,High,25,66,0.46,220,Clear,21.2,508.9,None,Major,2.8,0.86,98
40,Salem,28-01-2024 06:33,28-01-2024,6:33,Sunday,Five_Roads,Fairlands,National_Highway,463,Two_Wheeler_Dominant,22.53,Moderate,68,142,0.69,250,Clear,24.5,905.8,Market_Congestion,None,1.35,0.7,115
41,Salem,28-01-2024 17:18,28-01-2024,17:18,Sunday,Saradha_College_Signal,Ammapet,Main_Road,420,Mixed,20.73,High,70,130,0.38,91,Rain,18.3,628.8,None,None,2.63,0.46,164
42,Salem,29-01-2024 09:22,29-01-2024,9:22,Monday,Kondalampatti_Junction,Sankari_Main_Road,Inner_Road,252,Mixed,55.27,High,71,162,0.36,124,Rain,19.3,872.9,Accident,Minor,1.82,0.42,125
43,Salem,30-01-2024 01:37,30-01-2024,1:37,Tuesday,New_Bus_Stand_Junction,Cherry_Road,Inner_Road,427,Mixed,23.41,Low,55,158,0.37,246,Clear,21.2,622.1,Accident,Minor,2.67,0.56,163
44,Salem,31-01-2024 05:50,31-01-2024,5:50,Wednesday,Cherry_Road_Junction,Kondalampatti,State_Highway,580,Two_Wheeler_Dominant,67.16,Moderate,9,129,0.35,31,Cloudy,24.7,112.4,None,None,1.84,0.3,249
45,Salem,01-02-2024 06:53,01-02-2024,6:53,Thursday,Five_Roads,New_Suramangalam,Inner_Road,597,Two_Wheeler_Dominant,16,High,44,75,0.67,148,Rain,28.6,218.5,Road_Work,None,1.09,0.55,177
46,Salem,01-02-2024 23:20,01-02-2024,23:20,Thursday,Fairlands_Junction,Attur_Road,State_Highway,585,Two_Wheeler_Dominant,20.6,High,43,157,0.35,86,Clear,41.8,493,Breakdown,None,1.87,0.83,159
47,Salem,02-02-2024 12:24,02-02-2024,12:24,Friday,Kitchipalayam_Signal,Ammapet,State_Highway,467,Heavy_Vehicles,24.48,High,68,85,0.6,87,Clear,38,660.1,None,Moderate,2.25,0.79,209
48,Salem,02-02-2024 20:52,02-02-2024,20:52,Friday,New_Bus_Stand_Junction,Kitchipalayam,Inner_Road,89,Two_Wheeler_Dominant,49.51,Moderate,48,175,0.68,120,Fog,25,906.1,None,None,2.54,0.61,236
49,Salem,03-02-2024 12:31,03-02-2024,12:31,Saturday,Omalur_Junction,Kondalampatti,Main_Road,302,Mixed,54.72,Severe,56,99,0.49,21,Cloudy,33.8,505.2,None,Minor,0.84,0.83,249
50,Salem,04-02-2024 21:55,04-02-2024,21:55,Sunday,Kitchipalayam_Signal,Seelanaickenpatti,State_Highway,464,Mixed,24.54,Severe,65,146,0.49,274,Rain,39.8,904.7,Breakdown,Major,2.34,0.49,183
51,Salem,05-02-2024 08:22,05-02-2024,8:22,Monday,Sankari_Main_Road,Omalur_Road,National_Highway,377,Car_Dominant,26.09,Low,48,150,0.52,7,Cloudy,28.7,778.8,None,Minor,0.82,0.32,142
52,Salem,05-02-2024 16:41,05-02-2024,16:41,Monday,Steel_Plant_Signal,Kitchipalayam,State_Highway,421,Two_Wheeler_Dominant,46.93,Severe,67,63,0.31,135,Rain,32.1,160.8,None,Minor,2.4,0.85,198
53,Salem,05-02-2024 17:13,05-02-2024,17:13,Monday,Seelanaickenpatti_Signal,Attur_Road,Main_Road,537,Mixed,63.35,High,69,67,0.68,170,Clear,41,894.3,None,Minor,1.09,0.47,236
54,Salem,05-02-2024 17:49,05-02-2024,17:49,Monday,Sankari_Main_Road,Omalur_Road,State_Highway,236,Mixed,59.34,Low,56,173,0.62,289,Hot,23.7,108.1,None,Minor,1.82,0.34,233
55,Salem,07-02-2024 00:29,07-02-2024,0:29,Wednesday,Ammapet_Signal,Seelanaickenpatti,Main_Road,551,Mixed,29.18,Low,46,167,0.68,56,Hot,19.4,869.5,Procession,Moderate,2.67,0.61,160
56,Salem,07-02-2024 17:13,07-02-2024,17:13,Wednesday,Seelanaickenpatti_Signal,Ammapet,Inner_Road,192,Mixed,51.78,Low,62,178,0.48,12,Rain,34.5,164,None,None,1.58,0.38,161
57,Salem,07-02-2024 18:40,07-02-2024,18:40,Wednesday,Saradha_College_Signal,Sankari_Main_Road,Main_Road,521,Mixed,62.06,Low,49,123,0.32,131,Clear,36.4,961.8,Road_Work,Moderate,2.67,0.95,120
58,Salem,08-02-2024 04:48,08-02-2024,4:48,Thursday,Steel_Plant_Signal,New_Suramangalam,National_Highway,427,Two_Wheeler_Dominant,27.81,Moderate,70,164,0.34,35,Rain,34.3,550.1,None,Minor,1.33,0.89,170
59,Salem,08-02-2024 22:57,08-02-2024,22:57,Thursday,Kondalampatti_Junction,Hasthampatti,Inner_Road,373,Two_Wheeler_Dominant,59.54,Moderate,17,156,0.63,145,Clear,19.6,303.5,Accident,None,1.54,0.22,242
60,Salem,09-02-2024 22:18,09-02-2024,22:18,Friday,Fairlands_Junction,Steel_Plant,State_Highway,591,Two_Wheeler_Dominant,47.09,Low,78,148,0.65,111,Clear,27.3,146.5,None,None,2.31,0.86,141
61,Salem,10-02-2024 19:55,10-02-2024,19:55,Saturday,Kondalampatti_Junction,Ammapet,Main_Road,440,Mixed,28.73,High,15,79,0.43,206,Clear,23.1,495.3,None,Moderate,0.94,0.41,205
62,Salem,11-02-2024 13:42,11-02-2024,13:42,Sunday,Omalur_Junction,Sankari_Main_Road,National_Highway,438,Heavy_Vehicles,37.57,Moderate,41,87,0.5,214,Cloudy,37.8,802.3,Breakdown,None,1.84,0.44,66
63,Salem,11-02-2024 15:01,11-02-2024,15:01,Sunday,New_Bus_Stand_Junction,Kondalampatti,Main_Road,183,Two_Wheeler_Dominant,47.52,High,9,107,0.49,144,Cloudy,27.5,759.4,Accident,Moderate,1.63,0.78,155
64,Salem,13-02-2024 07:07,13-02-2024,7:07,Tuesday,Saradha_College_Signal,Kitchipalayam,State_Highway,95,Mixed,51.74,High,11,82,0.58,80,Cloudy,20.1,269.7,Breakdown,Minor,2.37,0.45,157
65,Salem,13-02-2024 23:31,13-02-2024,23:31,Tuesday,Hasthampatti_Circle,Kondalampatti,State_Highway,120,Two_Wheeler_Dominant,30.23,Moderate,57,104,0.32,43,Rain,34.9,110.9,None,None,1.37,0.84,179
66,Salem,15-02-2024 10:16,15-02-2024,10:16,Thursday,Hasthampatti_Circle,Cherry_Road,Main_Road,524,Heavy_Vehicles,45.48,Moderate,41,114,0.64,209,Rain,37.3,928.7,None,None,0.89,0.32,175
67,Salem,16-02-2024 07:43,16-02-2024,7:43,Friday,New_Bus_Stand_Junction,Ammapet,State_Highway,178,Two_Wheeler_Dominant,44.79,High,12,142,0.32,152,Hot,32.5,173,None,Minor,0.82,0.61,126
68,Salem,16-02-2024 13:06,16-02-2024,13:06,Friday,Saradha_College_Signal,Omalur_Road,State_Highway,246,Heavy_Vehicles,67.26,Low,2,149,0.64,77,Cloudy,28.4,192.3,None,None,2.11,0.23,174
69,Salem,17-02-2024 06:14,17-02-2024,6:14,Saturday,Omalur_Junction,Omalur_Road,Main_Road,201,Two_Wheeler_Dominant,43.61,Low,54,148,0.51,263,Clear,41.4,449.3,None,None,1.25,0.89,246
70,Salem,17-02-2024 07:43,17-02-2024,7:43,Saturday,Ammapet_Signal,Cherry_Road,Inner_Road,583,Mixed,28.67,Moderate,27,125,0.44,194,Clear,29.7,402,Market_Congestion,Minor,1.56,0.6,59
71,Salem,19-02-2024 07:56,19-02-2024,7:56,Monday,Attur_Road_Junction,Omalur_Road,Main_Road,453,Car_Dominant,38.17,Moderate,6,90,0.4,186,Rain,18,813.5,None,None,1.01,0.78,204
72,Salem,19-02-2024 21:27,19-02-2024,21:27,Monday,Steel_Plant_Signal,Ammapet,Main_Road,178,Heavy_Vehicles,32.71,Moderate,20,110,0.32,144,Fog,24.7,778.8,Road_Work,Moderate,2.18,0.49,171
73,Salem,20-02-2024 01:25,20-02-2024,1:25,Tuesday,Seelanaickenpatti_Signal,New_Suramangalam,National_Highway,582,Mixed,63.98,High,53,82,0.69,16,Rain,18.2,421.4,Procession,None,1.18,0.69,221
74,Salem,20-02-2024 15:39,20-02-2024,15:39,Tuesday,Kondalampatti_Junction,Fairlands,Main_Road,361,Mixed,31.3,Moderate,65,141,0.56,104,Rain,39.6,327.9,None,None,1.88,0.39,183
75,Salem,21-02-2024 14:06,21-02-2024,14:06,Wednesday,Kitchipalayam_Signal,Kondalampatti,National_Highway,575,Two_Wheeler_Dominant,55.05,Moderate,73,140,0.37,283,Rain,35.1,563.5,None,Minor,1.19,0.29,119
76,Salem,21-02-2024 14:10,21-02-2024,14:10,Wednesday,Ammapet_Signal,Omalur_Road,Main_Road,118,Mixed,25.18,Severe,4,80,0.31,21,Hot,23,598,Road_Work,None,1.36,0.6,240
77,Salem,22-02-2024 11:49,22-02-2024,11:49,Thursday,Attur_Road_Junction,Kitchipalayam,State_Highway,266,Heavy_Vehicles,34.19,Low,22,103,0.55,35,Clear,31.9,301.9,None,Minor,1.43,0.39,233
78,Salem,22-02-2024 22:49,22-02-2024,22:49,Thursday,Kondalampatti_Junction,Attur_Road,Main_Road,130,Two_Wheeler_Dominant,24.7,Moderate,53,99,0.57,55,Rain,21.6,191.2,Road_Work,Minor,2.55,0.18,57
79,Salem,24-02-2024 13:14,24-02-2024,13:14,Saturday,Fairlands_Junction,Kitchipalayam,State_Highway,117,Heavy_Vehicles,22.01,High,54,123,0.59,283,Rain,36.1,807.6,None,Minor,1.9,0.71,104
80,Salem,24-02-2024 20:19,24-02-2024,20:19,Saturday,Saradha_College_Signal,Cherry_Road,State_Highway,541,Two_Wheeler_Dominant,42.69,High,20,84,0.48,184,Rain,25.6,529.2,Breakdown,Minor,2,0.5,113
81,Salem,24-02-2024 23:35,24-02-2024,23:35,Saturday,New_Bus_Stand_Junction,Kitchipalayam,Inner_Road,299,Two_Wheeler_Dominant,21.32,High,3,174,0.62,34,Clear,40.6,236.4,Procession,None,1.42,0.25,151
82,Salem,25-02-2024 18:01,25-02-2024,18:01,Sunday,Five_Roads,Attur_Road,Inner_Road,479,Two_Wheeler_Dominant,55.56,Moderate,58,132,0.62,13,Rain,21,704.3,Breakdown,None,1.82,0.46,240
83,Salem,25-02-2024 21:14,25-02-2024,21:14,Sunday,Ammapet_Signal,Attur_Road,Inner_Road,332,Mixed,34.29,Moderate,72,175,0.42,195,Clear,37.4,228.6,Market_Congestion,Minor,2.32,0.63,246
84,Salem,27-02-2024 11:56,27-02-2024,11:56,Tuesday,Hasthampatti_Circle,Kondalampatti,Inner_Road,267,Heavy_Vehicles,63.05,Low,8,125,0.57,104,Clear,32.6,608.6,Market_Congestion,Major,1.84,0.64,62
85,Salem,28-02-2024 05:19,28-02-2024,5:19,Wednesday,Ammapet_Signal,Seelanaickenpatti,Main_Road,591,Mixed,34.08,Moderate,23,175,0.55,255,Rain,37,677.6,None,Moderate,2.14,0.37,62
86,Salem,28-02-2024 17:14,28-02-2024,17:14,Wednesday,Fairlands_Junction,Hasthampatti,State_Highway,497,Two_Wheeler_Dominant,45.36,Severe,37,151,0.64,15,Rain,27.7,279.3,Accident,Minor,1.58,0.19,144
87,Salem,28-02-2024 21:56,28-02-2024,21:56,Wednesday,New_Bus_Stand_Junction,Attur_Road,Main_Road,556,Mixed,30.32,High,40,83,0.67,220,Clear,39.8,917.1,None,None,1.15,0.69,215
88,Salem,01-03-2024 20:53,01-03-2024,20:53,Friday,Cherry_Road_Junction,Attur_Road,State_Highway,118,Heavy_Vehicles,24.15,Moderate,2,110,0.55,176,Rain,35,842.3,None,None,1.22,0.73,75
89,Salem,02-03-2024 18:50,02-03-2024,18:50,Saturday,Steel_Plant_Signal,Seelanaickenpatti,State_Highway,204,Car_Dominant,38.04,Moderate,55,168,0.5,38,Cloudy,41.5,348.7,None,None,2.41,0.81,144
90,Salem,02-03-2024 23:12,02-03-2024,23:12,Saturday,Fairlands_Junction,Steel_Plant,State_Highway,165,Heavy_Vehicles,50.42,Low,2,101,0.36,156,Clear,25.2,381.6,None,None,1.6,0.48,183
91,Salem,03-03-2024 14:05,03-03-2024,14:05,Sunday,Omalur_Junction,Ammapet,Inner_Road,484,Two_Wheeler_Dominant,27,Low,24,86,0.39,134,Rain,23.9,400.3,Breakdown,None,0.95,0.66,233
92,Salem,04-03-2024 14:44,04-03-2024,14:44,Monday,Attur_Road_Junction,Kitchipalayam,National_Highway,492,Car_Dominant,62.77,Moderate,47,158,0.46,105,Hot,27.7,343.7,None,None,2.75,0.73,132
93,Salem,05-03-2024 04:42,05-03-2024,4:42,Tuesday,Ammapet_Signal,Steel_Plant,Main_Road,94,Mixed,56.15,Moderate,61,106,0.43,94,Clear,30.3,421.3,Accident,Moderate,2.41,0.64,160
94,Salem,05-03-2024 08:02,05-03-2024,8:02,Tuesday,Seelanaickenpatti_Signal,Steel_Plant,Main_Road,511,Mixed,16.08,Moderate,74,111,0.58,298,Rain,25.1,282.4,None,Minor,2.53,0.54,101
95,Salem,05-03-2024 18:13,05-03-2024,18:13,Tuesday,Kondalampatti_Junction,Kondalampatti,State_Highway,102,Heavy_Vehicles,37.97,High,57,178,0.35,218,Clear,19.4,869.5,Breakdown,Minor,1.54,0.38,138
96,Salem,07-03-2024 20:16,07-03-2024,20:16,Thursday,Fairlands_Junction,Cherry_Road,National_Highway,282,Heavy_Vehicles,22.39,Low,50,166,0.64,7,Clear,39,474.9,None,None,1.82,0.56,104
97,Salem,08-03-2024 02:58,08-03-2024,2:58,Friday,Hasthampatti_Circle,Hasthampatti,National_Highway,550,Mixed,18.59,Moderate,8,134,0.55,230,Clear,29.8,654.7,None,None,1.03,0.69,88
98,Salem,08-03-2024 17:56,08-03-2024,17:56,Friday,Five_Roads,Omalur_Road,State_Highway,437,Mixed,58.49,Severe,9,92,0.69,125,Rain,32.3,486,None,None,2.42,0.94,74
99,Salem,08-03-2024 21:41,08-03-2024,21:41,Friday,Attur_Road_Junction,Steel_Plant,Inner_Road,313,Heavy_Vehicles,62.6,Moderate,16,105,0.5,200,Cloudy,19.2,267.5,Accident,None,1.58,0.77,156
100,Salem,09-03-2024 08:07,09-03-2024,8:07,Saturday,New_Bus_Stand_Junction,Attur_Road,State_Highway,81,Mixed,28.33,High,44,82,0.46,71,Rain,26.5,689.2,Procession,None,2.47,0.8,174
101,Salem,09-03-2024 14:42,09-03-2024,14:42,Saturday,New_Bus_Stand_Junction,Seelanaickenpatti,Inner_Road,362,Mixed,27.61,Low,6,168,0.66,76,Rain,20.8,855.1,Market_Congestion,None,2.24,0.16,213
102,Salem,10-03-2024 02:17,10-03-2024,2:17,Sunday,Five_Roads,Cherry_Road,Inner_Road,294,Mixed,54.55,Moderate,38,76,0.46,212,Clear,26.6,934.4,None,Minor,2.2,0.48,173
103,Salem,11-03-2024 04:14,11-03-2024,4:14,Monday,Cherry_Road_Junction,Sankari_Main_Road,State_Highway,299,Two_Wheeler_Dominant,67.1,Low,70,152,0.58,22,Hot,21.7,876.4,None,None,1.88,0.7,239
104,Salem,11-03-2024 20:06,11-03-2024,20:06,Monday,Hasthampatti_Circle,Cherry_Road,Main_Road,494,Heavy_Vehicles,19.23,Severe,7,130,0.42,59,Fog,26.1,451.9,Breakdown,None,1.15,0.56,200
105,Salem,12-03-2024 01:02,12-03-2024,1:02,Tuesday,Five_Roads,Ammapet,Main_Road,84,Mixed,57.26,Moderate,4,171,0.44,141,Clear,26.4,477.3,None,Minor,2.36,0.94,142
106,Salem,12-03-2024 23:06,12-03-2024,23:06,Tuesday,Kitchipalayam_Signal,New_Suramangalam,Inner_Road,350,Car_Dominant,21.25,Low,39,169,0.66,121,Clear,29,620.5,Accident,Major,1.56,0.29,106
107,Salem,14-03-2024 08:08,14-03-2024,8:08,Thursday,Five_Roads,Omalur_Road,Main_Road,425,Mixed,22.09,Moderate,61,163,0.63,32,Rain,22.4,277.2,Breakdown,Minor,1.09,0.42,143
108,Salem,14-03-2024 13:55,14-03-2024,13:55,Thursday,Sankari_Main_Road,Steel_Plant,Main_Road,421,Mixed,52.86,Low,8,83,0.43,190,Clear,41.2,421.2,Accident,Moderate,2.27,0.73,129
109,Salem,16-03-2024 13:08,16-03-2024,13:08,Saturday,Ammapet_Signal,Kondalampatti,Main_Road,590,Two_Wheeler_Dominant,56.81,Moderate,11,162,0.49,134,Rain,18.3,307.4,None,None,2.43,0.56,129
110,Salem,16-03-2024 19:00,16-03-2024,19:00,Saturday,Kitchipalayam_Signal,Kondalampatti,Main_Road,164,Mixed,48.74,Moderate,57,121,0.57,94,Cloudy,41.8,449,Market_Congestion,Major,2.31,0.69,181
111,Salem,17-03-2024 14:34,17-03-2024,14:34,Sunday,Seelanaickenpatti_Signal,Fairlands,Inner_Road,309,Car_Dominant,55.29,Moderate,62,69,0.51,94,Clear,28.4,243.5,Market_Congestion,None,0.96,0.56,234
112,Salem,17-03-2024 17:02,17-03-2024,17:02,Sunday,Seelanaickenpatti_Signal,Kondalampatti,Main_Road,359,Two_Wheeler_Dominant,29.01,Low,41,80,0.5,235,Clear,30.8,373.8,Accident,Minor,1.25,0.5,142
113,Salem,17-03-2024 18:19,17-03-2024,18:19,Sunday,Saradha_College_Signal,Kondalampatti,National_Highway,595,Two_Wheeler_Dominant,36.85,Moderate,24,144,0.58,248,Clear,32.7,855.8,None,Minor,2.18,0.8,188
114,Salem,19-03-2024 15:59,19-03-2024,15:59,Tuesday,Hasthampatti_Circle,Fairlands,State_Highway,188,Heavy_Vehicles,55.59,High,63,131,0.64,141,Rain,19.5,363.1,Market_Congestion,None,1.01,0.82,115
115,Salem,20-03-2024 06:48,20-03-2024,6:48,Wednesday,Kitchipalayam_Signal,Hasthampatti,State_Highway,210,Car_Dominant,56.53,High,79,171,0.46,63,Clear,25,736.9,None,None,1.8,0.41,141
116,Salem,20-03-2024 07:55,20-03-2024,7:55,Wednesday,New_Bus_Stand_Junction,Hasthampatti,State_Highway,543,Mixed,60.68,Moderate,78,147,0.51,134,Clear,21,767.7,None,Moderate,1.1,0.24,188
117,Salem,20-03-2024 08:18,20-03-2024,8:18,Wednesday,Saradha_College_Signal,Ammapet,Main_Road,304,Two_Wheeler_Dominant,48.58,Moderate,24,123,0.39,118,Clear,34,888.3,Accident,None,1.82,0.16,186
